scenario,slice,metric,agent_a,agent_b,n_paired_seeds,paired_seeds,seed_set_matches_reference,mean_a,mean_b,mean_delta,ci_lower,ci_upper,ci_method,p_value,p_value_paired_t,effect_size_dz,effect_size_label,favored_agent,family,family_size,p_value_holm,p_value_bh,p_value_paired_t_holm,p_value_paired_t_bh
missing_data_bias,overall,fairness_gap_ses,stability_filtered,structural_causal,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.007705008785349241,0.007226850780042354,0.0004781580053068878,-0.001730780264504066,0.0026870962751178416,student_t,0.6533203125,0.643086757234457,0.1375353519278204,negligible,structural_causal,missing_data_bias::overall,40,1.0,0.7466517857142857,1.0,0.7349562939822365
missing_data_bias,normal,success_rate,stability_filtered,structural_causal,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.7148333333333333,0.7061666666666665,0.008666666666666684,-0.005343810134671558,0.022677143468004923,student_t,0.208984375,0.20059200402734134,0.39302997094654035,small,stability_filtered,missing_data_bias::normal,40,1.0,0.2786458333333333,1.0,0.2588283922933437
missing_data_bias,normal,near_optimal_rate,stability_filtered,structural_causal,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.9971666666666666,0.9957499999999998,0.0014166666666666679,-0.0008085020730578833,0.003641835406391219,student_t,0.25,0.1887104749199329,0.4045118201505961,small,stability_filtered,missing_data_bias::normal,40,1.0,0.30303030303030304,1.0,0.25161396655991053
missing_data_bias,normal,avg_cost,stability_filtered,structural_causal,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.27889166666666665,0.28177083333333336,-0.002879166666666664,-0.052750892109836876,0.04699255877650355,student_t,0.94970703125,0.9011811343619354,-0.03668080878513293,negligible,stability_filtered,missing_data_bias::normal,40,1.0,0.94970703125,1.0,0.9011811343619354
missing_data_bias,normal,fairness_gap_ses,stability_filtered,structural_causal,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.015878558010538137,0.018600658476664544,-0.0027221004661264043,-0.007645403097929307,0.002201202165676499,student_t,0.2431640625,0.2490967356756031,-0.35129673135797856,small,stability_filtered,missing_data_bias::normal,40,1.0,0.30303030303030304,1.0,0.30646522936874276
missing_data_bias,surface_shift,success_rate,stability_filtered,structural_causal,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.7169166666666668,0.7054166666666667,0.01150000000000001,-0.007510000038016877,0.030510000038016898,student_t,0.228515625,0.20996707216026278,0.3843635660000635,small,stability_filtered,missing_data_bias::surface_shift,40,1.0,0.2688419117647059,1.0,0.25450554201243974
missing_data_bias,surface_shift,near_optimal_rate,stability_filtered,structural_causal,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.9968333333333331,0.9960833333333333,0.0007500000000000007,-0.001453068440397969,0.0029530684403979704,student_t,0.52001953125,0.4694029854326348,0.2163016167623087,small,stability_filtered,missing_data_bias::surface_shift,40,1.0,0.562183277027027,1.0,0.5074626869541998
missing_data_bias,surface_shift,avg_cost,stability_filtered,structural_causal,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.27335000000000004,0.28575,-0.012399999999999987,-0.06437193054833287,0.039571930548332905,student_t,0.70947265625,0.6099113757165814,-0.1515930626348753,negligible,stability_filtered,missing_data_bias::surface_shift,40,1.0,0.746813322368421,1.0,0.6420119744385067
missing_data_bias,surface_shift,fairness_gap_ses,stability_filtered,structural_causal,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.015168553589094913,0.01276457815968487,0.002403975429410041,-0.0016457333890575808,0.006453684247877662,student_t,0.22119140625,0.2180253754162206,0.3771661582095497,small,structural_causal,missing_data_bias::surface_shift,40,1.0,0.26811079545454547,1.0,0.2565004416661419
missing_data_bias,adversarial,success_rate,stability_filtered,structural_causal,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.7170000000000001,0.7053333333333334,0.011666666666666667,-0.006004324259058369,0.0293376575923917,student_t,0.1962890625,0.1741143076910685,0.4194810796586605,small,stability_filtered,missing_data_bias::adversarial,40,1.0,0.26171875,1.0,0.232152410254758
