scenario,slice,metric,agent_a,agent_b,mean_delta,effect_size_dz,effect_size_label,favored_agent
treatment_allocation_confounding,overall,success_rate,causal_light,stability_filtered,0.02566666666666669,0.5791274631909774,medium,causal_light
treatment_allocation_confounding,overall,near_optimal_rate,causal_light,stability_filtered,8.333333333333341e-05,0.02269957601715165,negligible,causal_light
treatment_allocation_confounding,overall,avg_cost,causal_light,stability_filtered,0.003979166666666642,0.04480356999293793,negligible,stability_filtered
treatment_allocation_confounding,overall,fairness_gap_ses,causal_light,stability_filtered,0.02007241490581442,2.873421913265819,large,stability_filtered
treatment_allocation_confounding,normal,success_rate,causal_light,stability_filtered,0.031333333333333296,0.7423553431227844,medium,causal_light
treatment_allocation_confounding,normal,near_optimal_rate,causal_light,stability_filtered,0.0006666666666666673,0.14135711759841155,negligible,causal_light
treatment_allocation_confounding,normal,avg_cost,causal_light,stability_filtered,-0.002766666666666716,-0.03171183858208224,negligible,causal_light
treatment_allocation_confounding,normal,fairness_gap_ses,causal_light,stability_filtered,0.023072366161885783,2.259066234061633,large,stability_filtered
treatment_allocation_confounding,surface_shift,success_rate,causal_light,stability_filtered,0.030999999999999955,0.6576690973211328,medium,causal_light
treatment_allocation_confounding,surface_shift,near_optimal_rate,causal_light,stability_filtered,0.000833333333333334,0.29518742300808587,small,causal_light
treatment_allocation_confounding,surface_shift,avg_cost,causal_light,stability_filtered,-0.005487500000000037,-0.060512293670460376,negligible,causal_light
treatment_allocation_confounding,surface_shift,fairness_gap_ses,causal_light,stability_filtered,-0.00024284685761879424,-0.04103663609994629,negligible,causal_light
treatment_allocation_confounding,adversarial,success_rate,causal_light,stability_filtered,0.014666666666666625,0.31135492235061224,small,causal_light
treatment_allocation_confounding,adversarial,near_optimal_rate,causal_light,stability_filtered,-0.0012500000000000011,-0.2137312871877292,small,stability_filtered
treatment_allocation_confounding,adversarial,avg_cost,causal_light,stability_filtered,0.020191666666666615,0.22494566896048684,small,stability_filtered
treatment_allocation_confounding,adversarial,fairness_gap_ses,causal_light,stability_filtered,0.036829698516872005,2.3218784985014036,large,stability_filtered
treatment_allocation_confounding,degradation,success_rate_drop,causal_light,stability_filtered,0.016666666666666673,0.830444385506942,large,stability_filtered
treatment_allocation_confounding,degradation,fairness_gap_increase,causal_light,stability_filtered,0.01375733235498623,0.7077088432997275,medium,stability_filtered
treatment_allocation_confounding,degradation,near_optimal_rate_drop,causal_light,stability_filtered,0.0019166666666666683,0.33742692604748026,small,stability_filtered
treatment_allocation_confounding,overall,success_rate,causal_light,structural_causal,-0.0004999999999999912,-0.01337866032024615,negligible,structural_causal
treatment_allocation_confounding,overall,near_optimal_rate,causal_light,structural_causal,0.0006666666666666673,0.2114602732299197,small,causal_light
treatment_allocation_confounding,overall,avg_cost,causal_light,structural_causal,0.08440138888888886,1.0020464603196175,large,structural_causal
treatment_allocation_confounding,overall,fairness_gap_ses,causal_light,structural_causal,0.02071419793328112,3.1777532063171727,large,structural_causal
treatment_allocation_confounding,normal,success_rate,causal_light,structural_causal,0.006833333333333321,0.1954218806439068,negligible,causal_light
treatment_allocation_confounding,normal,near_optimal_rate,causal_light,structural_causal,0.0015833333333333348,0.3167146573719004,small,causal_light
treatment_allocation_confounding,normal,avg_cost,causal_light,structural_causal,0.0945083333333333,1.1312187140954864,large,structural_causal
treatment_allocation_confounding,normal,fairness_gap_ses,causal_light,structural_causal,0.025959531960460466,1.753095410515215,large,structural_causal
treatment_allocation_confounding,surface_shift,success_rate,causal_light,structural_causal,0.009583333333333305,0.22500282850324022,small,causal_light
treatment_allocation_confounding,surface_shift,near_optimal_rate,causal_light,structural_causal,0.0031666666666666696,0.8886941247777431,large,causal_light
treatment_allocation_confounding,surface_shift,avg_cost,causal_light,structural_causal,0.06591666666666662,0.7303091571790217,medium,structural_causal
treatment_allocation_confounding,surface_shift,fairness_gap_ses,causal_light,structural_causal,0.0039759390326197025,0.5961024299247921,medium,structural_causal
treatment_allocation_confounding,adversarial,success_rate,causal_light,structural_causal,-0.017916666666666702,-0.46868298943402925,small,structural_causal
treatment_allocation_confounding,adversarial,near_optimal_rate,causal_light,structural_causal,-0.0027500000000000024,-0.8459263548616169,large,structural_causal
treatment_allocation_confounding,adversarial,avg_cost,causal_light,structural_causal,0.09277916666666662,1.1147354469939026,large,structural_causal
treatment_allocation_confounding,adversarial,fairness_gap_ses,causal_light,structural_causal,0.03636567379523336,3.3367651420699693,large,structural_causal
treatment_allocation_confounding,degradation,success_rate_drop,causal_light,structural_causal,0.024750000000000022,1.2597047469369165,large,structural_causal
treatment_allocation_confounding,degradation,fairness_gap_increase,causal_light,structural_causal,0.010406141834772894,0.6637063673204793,medium,structural_causal
treatment_allocation_confounding,degradation,near_optimal_rate_drop,causal_light,structural_causal,0.0043333333333333375,0.8127886836118807,large,structural_causal
treatment_allocation_confounding,overall,success_rate,causal_light,workflow,0.125,25.045578889253306,large,causal_light
treatment_allocation_confounding,overall,near_optimal_rate,causal_light,workflow,0.11822222222222219,25.400181205331915,large,causal_light
treatment_allocation_confounding,overall,avg_cost,causal_light,workflow,-0.17666527777777777,-32.29236649629302,large,causal_light
treatment_allocation_confounding,overall,fairness_gap_ses,causal_light,workflow,-0.0011667298041403093,-0.26363455135297864,small,causal_light
treatment_allocation_confounding,normal,success_rate,causal_light,workflow,0.12349999999999998,12.793853325985449,large,causal_light
treatment_allocation_confounding,normal,near_optimal_rate,causal_light,workflow,0.11049999999999999,13.705838172107521,large,causal_light
treatment_allocation_confounding,normal,avg_cost,causal_light,workflow,-0.17236666666666667,-21.178447200617985,large,causal_light
treatment_allocation_confounding,normal,fairness_gap_ses,causal_light,workflow,0.005073018798869126,0.7404148350179928,medium,workflow
treatment_allocation_confounding,surface_shift,success_rate,causal_light,workflow,0.11166666666666665,12.313332318589168,large,causal_light
treatment_allocation_confounding,surface_shift,near_optimal_rate,causal_light,workflow,0.10108333333333334,18.656521244493465,large,causal_light
treatment_allocation_confounding,surface_shift,avg_cost,causal_light,workflow,-0.155575,-22.70892918758094,large,causal_light
treatment_allocation_confounding,surface_shift,fairness_gap_ses,causal_light,workflow,0.0005864656392183691,0.05838828793575608,negligible,workflow
treatment_allocation_confounding,adversarial,success_rate,causal_light,workflow,0.13983333333333334,14.624466274385176,large,causal_light
treatment_allocation_confounding,adversarial,near_optimal_rate,causal_light,workflow,0.14308333333333334,14.852181395129612,large,causal_light
treatment_allocation_confounding,adversarial,avg_cost,causal_light,workflow,-0.20205416666666665,-20.02100530683365,large,causal_light
treatment_allocation_confounding,adversarial,fairness_gap_ses,causal_light,workflow,-0.003783713591841183,-0.46387326147768987,small,causal_light
treatment_allocation_confounding,degradation,success_rate_drop,causal_light,workflow,-0.016333333333333293,-1.5173048759136696,large,causal_light
treatment_allocation_confounding,degradation,fairness_gap_increase,causal_light,workflow,-0.008856732390710309,-0.9274967562960623,large,causal_light
treatment_allocation_confounding,degradation,near_optimal_rate_drop,causal_light,workflow,-0.03258333333333336,-3.785604628021795,large,causal_light
treatment_allocation_confounding,overall,success_rate,stability_filtered,structural_causal,-0.026166666666666682,-0.39182601555787133,small,structural_causal
treatment_allocation_confounding,overall,near_optimal_rate,stability_filtered,structural_causal,0.0005833333333333338,0.15188706281096195,negligible,stability_filtered
treatment_allocation_confounding,overall,avg_cost,stability_filtered,structural_causal,0.0804222222222222,0.5952467367531858,medium,structural_causal
treatment_allocation_confounding,overall,fairness_gap_ses,stability_filtered,structural_causal,0.0006417830274666962,0.10977893569994392,negligible,structural_causal
treatment_allocation_confounding,normal,success_rate,stability_filtered,structural_causal,-0.024499999999999977,-0.3617299768170986,small,structural_causal
treatment_allocation_confounding,normal,near_optimal_rate,stability_filtered,structural_causal,0.0009166666666666675,0.1746812122282987,negligible,stability_filtered
treatment_allocation_confounding,normal,avg_cost,stability_filtered,structural_causal,0.09727500000000001,0.736493221667522,medium,structural_causal
treatment_allocation_confounding,normal,fairness_gap_ses,stability_filtered,structural_causal,0.0028871657985746787,0.2044945521394384,small,structural_causal
treatment_allocation_confounding,surface_shift,success_rate,stability_filtered,structural_causal,-0.02141666666666665,-0.31522714615980485,small,structural_causal
treatment_allocation_confounding,surface_shift,near_optimal_rate,stability_filtered,structural_causal,0.0023333333333333353,0.7226941411865924,medium,stability_filtered
treatment_allocation_confounding,surface_shift,avg_cost,stability_filtered,structural_causal,0.07140416666666664,0.4990095193818754,small,structural_causal
treatment_allocation_confounding,surface_shift,fairness_gap_ses,stability_filtered,structural_causal,0.004218785890238497,0.7081708164287326,medium,structural_causal
treatment_allocation_confounding,adversarial,success_rate,stability_filtered,structural_causal,-0.032583333333333325,-0.47192532162985346,small,structural_causal
treatment_allocation_confounding,adversarial,near_optimal_rate,stability_filtered,structural_causal,-0.0015000000000000013,-0.314015250727163,small,structural_causal
treatment_allocation_confounding,adversarial,avg_cost,stability_filtered,structural_causal,0.07258750000000001,0.5423976215534304,medium,structural_causal
treatment_allocation_confounding,adversarial,fairness_gap_ses,stability_filtered,structural_causal,-0.000464024721638654,-0.03749652166831726,negligible,stability_filtered
treatment_allocation_confounding,degradation,success_rate_drop,stability_filtered,structural_causal,0.00808333333333335,0.2829273034328508,small,structural_causal
treatment_allocation_confounding,degradation,fairness_gap_increase,stability_filtered,structural_causal,-0.0033511905202133333,-0.15260661808481957,negligible,stability_filtered
treatment_allocation_confounding,degradation,near_optimal_rate_drop,stability_filtered,structural_causal,0.002416666666666669,0.5142620040456338,medium,structural_causal
treatment_allocation_confounding,overall,success_rate,stability_filtered,workflow,0.09933333333333332,2.367344280135263,large,stability_filtered
treatment_allocation_confounding,overall,near_optimal_rate,stability_filtered,workflow,0.11813888888888886,19.986669441730093,large,stability_filtered
treatment_allocation_confounding,overall,avg_cost,stability_filtered,workflow,-0.1806444444444444,-2.083930305463778,large,stability_filtered
treatment_allocation_confounding,overall,fairness_gap_ses,stability_filtered,workflow,-0.021239144709954732,-2.4862931673639097,large,stability_filtered
treatment_allocation_confounding,normal,success_rate,stability_filtered,workflow,0.09216666666666669,2.3376333861162415,large,stability_filtered
treatment_allocation_confounding,normal,near_optimal_rate,stability_filtered,workflow,0.10983333333333334,11.858266311929565,large,stability_filtered
treatment_allocation_confounding,normal,avg_cost,stability_filtered,workflow,-0.16959999999999995,-2.098417992201473,large,stability_filtered
treatment_allocation_confounding,normal,fairness_gap_ses,stability_filtered,workflow,-0.017999347363016657,-1.7421941212211656,large,stability_filtered
treatment_allocation_confounding,surface_shift,success_rate,stability_filtered,workflow,0.0806666666666667,1.8336490714452653,large,stability_filtered
treatment_allocation_confounding,surface_shift,near_optimal_rate,stability_filtered,workflow,0.10024999999999996,16.96187216530014,large,stability_filtered
treatment_allocation_confounding,surface_shift,avg_cost,stability_filtered,workflow,-0.1500875,-1.6477469641276434,large,stability_filtered
treatment_allocation_confounding,surface_shift,fairness_gap_ses,stability_filtered,workflow,0.0008293124968371631,0.09420184077998925,negligible,workflow
treatment_allocation_confounding,adversarial,success_rate,stability_filtered,workflow,0.12516666666666668,2.7139307040118945,large,stability_filtered
treatment_allocation_confounding,adversarial,near_optimal_rate,stability_filtered,workflow,0.14433333333333334,13.634529570571194,large,stability_filtered
treatment_allocation_confounding,adversarial,avg_cost,stability_filtered,workflow,-0.22224583333333325,-2.46487199776822,large,stability_filtered
treatment_allocation_confounding,adversarial,fairness_gap_ses,stability_filtered,workflow,-0.0406134121087132,-2.6017978280506537,large,stability_filtered
treatment_allocation_confounding,degradation,success_rate_drop,stability_filtered,workflow,-0.03299999999999997,-1.5108222401935336,large,stability_filtered
treatment_allocation_confounding,degradation,fairness_gap_increase,stability_filtered,workflow,-0.022614064745696535,-1.2846485722841614,large,stability_filtered
treatment_allocation_confounding,degradation,near_optimal_rate_drop,stability_filtered,workflow,-0.03450000000000003,-3.7261436286680385,large,stability_filtered
treatment_allocation_confounding,overall,success_rate,structural_causal,workflow,0.12550000000000003,3.0989538925314157,large,structural_causal
treatment_allocation_confounding,overall,near_optimal_rate,structural_causal,workflow,0.11755555555555557,19.51426926677992,large,structural_causal
treatment_allocation_confounding,overall,avg_cost,structural_causal,workflow,-0.2610666666666666,-3.0161583583276546,large,structural_causal
treatment_allocation_confounding,overall,fairness_gap_ses,structural_causal,workflow,-0.021880927737421427,-2.754499129717623,large,structural_causal
treatment_allocation_confounding,normal,success_rate,structural_causal,workflow,0.11666666666666668,2.8676616713781833,large,structural_causal
treatment_allocation_confounding,normal,near_optimal_rate,structural_causal,workflow,0.10891666666666666,11.048892795923027,large,structural_causal
treatment_allocation_confounding,normal,avg_cost,structural_causal,workflow,-0.266875,-3.122543549209706,large,structural_causal
treatment_allocation_confounding,normal,fairness_gap_ses,structural_causal,workflow,-0.020886513161591343,-1.2173602721578105,large,structural_causal
treatment_allocation_confounding,surface_shift,success_rate,structural_causal,workflow,0.10208333333333335,2.4083836240988665,large,structural_causal
