scenario,slice,metric,agent_a,agent_b,mean_a,mean_b,paired_mean_difference,ci_lower,ci_upper,p_raw,cohen_dz,n_seeds
treatment_allocation_confounding,adversarial,fairness_gap_ses,baseline,causal_light,0.10854271358594247,0.050582978451983375,0.05795973513395911,0.05154392649046048,0.06437554377745774,0.00048828125,5.739862398639622,12
treatment_allocation_confounding,degradation,success_rate_drop,baseline,causal_light,0.044416666666666695,0.013833333333333336,0.03058333333333336,0.015347803822904186,0.045818862843762534,0.00341796875,1.2754215679967298,12
treatment_allocation_confounding,degradation,fairness_gap_increase,baseline,causal_light,0.032169897149859066,0.006416842691127276,0.02575305445873179,0.014684017761987628,0.03682209115547595,0.00048828125,1.4782415676697203,12
treatment_allocation_confounding,degradation,near_optimal_rate_drop,baseline,causal_light,0.06599999999999995,0.0043333333333333375,0.06166666666666661,0.05431505806585515,0.06901827526747807,0.00048828125,5.329599662615781,12
treatment_allocation_confounding,overall,success_rate,baseline,stability_filtered,0.6441666666666667,0.6809999999999999,-0.03683333333333333,-0.06610641367453499,-0.007560252992131672,0.01318359375,-0.7994643273094008,12
treatment_allocation_confounding,overall,near_optimal_rate,baseline,stability_filtered,0.9325555555555556,0.9951111111111111,-0.06255555555555554,-0.06623089760111463,-0.058880213509996455,0.00048828125,-10.814205394024706,12
treatment_allocation_confounding,overall,avg_cost,baseline,stability_filtered,0.4325097222222221,0.3573333333333333,0.07517638888888885,0.01786596296485323,0.13248681481292446,0.00048828125,0.8334399532486995,12
treatment_allocation_confounding,overall,fairness_gap_ses,baseline,stability_filtered,0.06571667773088827,0.009468123617313754,0.056248554113574524,0.049814180333401376,0.06268292789374767,0.00048828125,5.554328589042516,12
treatment_allocation_confounding,normal,success_rate,baseline,stability_filtered,0.6503333333333333,0.6785000000000001,-0.028166666666666663,-0.05641654046739492,8.320713406159697e-05,0.0537109375,-0.6334982704458785,12
treatment_allocation_confounding,normal,near_optimal_rate,baseline,stability_filtered,0.9474166666666665,0.9951666666666666,-0.04775000000000004,-0.052731771317083745,-0.04276822868291634,0.00048828125,-6.089982987753539,12
treatment_allocation_confounding,normal,avg_cost,baseline,stability_filtered,0.4185583333333333,0.361475,0.057083333333333285,0.0017120285419848502,0.11245463812468172,0.06298828125,0.6550147190556065,12
treatment_allocation_confounding,normal,fairness_gap_ses,baseline,stability_filtered,0.07637281643608342,0.021093769598970316,0.05527904683711312,0.045493280590910345,0.0650648130833159,0.00048828125,3.589154882819983,12
treatment_allocation_confounding,surface_shift,success_rate,baseline,stability_filtered,0.67625,0.6831666666666666,-0.006916666666666654,-0.03588823024908325,0.022054896915749942,0.61083984375,-0.1516880621527825,12
treatment_allocation_confounding,surface_shift,near_optimal_rate,baseline,stability_filtered,0.9688333333333333,0.9974166666666666,-0.02858333333333336,-0.03309611199503301,-0.024070554671633708,0.00048828125,-4.024346178758913,12
treatment_allocation_confounding,surface_shift,avg_cost,baseline,stability_filtered,0.3836583333333332,0.35131249999999997,0.03234583333333329,-0.025626016631700117,0.0903176832983667,0.22705078125,0.35450933554412695,12
treatment_allocation_confounding,surface_shift,fairness_gap_ses,baseline,stability_filtered,0.01819440050903006,0.01710513497191832,0.0010892655371117377,-0.0035650047487967634,0.005743535823020239,0.615234375,0.1486992076561149,12
treatment_allocation_confounding,adversarial,success_rate,baseline,stability_filtered,0.6059166666666665,0.6813333333333333,-0.0754166666666667,-0.10981791849532903,-0.041015414838004374,0.00048828125,-1.3928988444369979,12
treatment_allocation_confounding,adversarial,near_optimal_rate,baseline,stability_filtered,0.8814166666666668,0.9927499999999999,-0.11133333333333333,-0.11827409892434249,-0.10439256774232417,0.00048828125,-10.191645901545792,12
treatment_allocation_confounding,adversarial,avg_cost,baseline,stability_filtered,0.4953124999999999,0.3592125,0.13609999999999992,0.07566278016816963,0.1965372198318302,0.00048828125,1.4308039761917655,12
treatment_allocation_confounding,adversarial,fairness_gap_ses,baseline,stability_filtered,0.10854271358594247,0.013753279935111365,0.09478943365083113,0.08250762433080766,0.1070712429708546,0.00048828125,4.9037019914118085,12
treatment_allocation_confounding,degradation,success_rate_drop,baseline,stability_filtered,0.044416666666666695,-0.0028333333333333357,0.047250000000000035,0.027587806797290015,0.06691219320271005,0.001953125,1.5268499000465738,12
treatment_allocation_confounding,degradation,fairness_gap_increase,baseline,stability_filtered,0.032169897149859066,-0.00734048966385895,0.03951038681371802,0.022315192879462042,0.056705580747973994,0.00146484375,1.4599255008130123,12
treatment_allocation_confounding,degradation,near_optimal_rate_drop,baseline,stability_filtered,0.06599999999999995,0.002416666666666669,0.06358333333333328,0.054378111092375093,0.07278855557429148,0.00048828125,4.388696064232676,12
treatment_allocation_confounding,overall,success_rate,baseline,structural_causal,0.6441666666666667,0.7071666666666666,-0.06300000000000001,-0.08645597542917621,-0.03954402457082382,0.00146484375,-1.7065284887654795,12
treatment_allocation_confounding,overall,near_optimal_rate,baseline,structural_causal,0.9325555555555556,0.9945277777777778,-0.061972222222222206,-0.0638567267919261,-0.06008771765251831,0.00048828125,-20.894229756391443,12
treatment_allocation_confounding,overall,avg_cost,baseline,structural_causal,0.4325097222222221,0.2769111111111111,0.15559861111111106,0.10155870327785457,0.20963851894436755,0.00146484375,1.8294376296015338,12
