scenario,slice,metric,agent_a,agent_b,p_raw,p_holm,p_bh,p_paired_t,p_paired_t_holm,p_paired_t_bh,correction_family,family_size
treatment_allocation_confounding,overall,near_optimal_rate,baseline,structural_causal,0.00048828125,0.01953125,0.0007512019230769231,4.351459497494663e-16,1.610040014073025e-14,4.351459497494663e-15,treatment_allocation_confounding::overall,40
treatment_allocation_confounding,overall,avg_cost,baseline,structural_causal,0.00146484375,0.0205078125,0.0020926339285714285,5.5414438384487865e-05,0.000831216575767318,8.525298212998134e-05,treatment_allocation_confounding::overall,40
treatment_allocation_confounding,overall,fairness_gap_ses,baseline,structural_causal,0.00048828125,0.01953125,0.0007512019230769231,2.135686214463174e-10,5.552784157604252e-09,5.695163238568463e-10,treatment_allocation_confounding::overall,40
treatment_allocation_confounding,normal,success_rate,baseline,structural_causal,0.00244140625,0.03662109375,0.0037560096153846155,0.0008658025017947977,0.012987037526921966,0.0013320038489150732,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,normal,near_optimal_rate,baseline,structural_causal,0.00048828125,0.01953125,0.0008491847826086956,2.287434353439783e-11,7.548533366351283e-10,1.1437171767198914e-10,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,normal,avg_cost,baseline,structural_causal,0.001953125,0.03125,0.003125,5.428147028461761e-05,0.000977066465123117,9.440255701672628e-05,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,normal,fairness_gap_ses,baseline,structural_causal,0.00048828125,0.01953125,0.0008491847826086956,5.927344858385119e-07,1.3632893174285774e-05,1.3171877463078042e-06,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,surface_shift,success_rate,baseline,structural_causal,0.05517578125,0.8828125,0.08828125,0.0516493114799174,0.8263889836786784,0.08263889836786785,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,surface_shift,near_optimal_rate,baseline,structural_causal,0.00048828125,0.01953125,0.0011488970588235295,1.3292232342659058e-08,4.2535143496508985e-07,5.907658818959581e-08,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,surface_shift,avg_cost,baseline,structural_causal,0.0048828125,0.1123046875,0.010850694444444444,0.002283148136711193,0.05251240714435744,0.0050736625260248734,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,surface_shift,fairness_gap_ses,baseline,structural_causal,0.0244140625,0.48828125,0.04650297619047619,0.019181761080950786,0.4028169826999665,0.03836352216190157,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,adversarial,success_rate,baseline,structural_causal,0.00048828125,0.01953125,0.0006734913793103449,1.3371420169940473e-07,3.2091408407857135e-06,3.1462165105742285e-07,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,adversarial,near_optimal_rate,baseline,structural_causal,0.00048828125,0.01953125,0.0006734913793103449,3.132601006435585e-14,1.1277363623168105e-12,2.506080805148468e-13,treatment_allocation_confounding::adversarial,40
